,natureza_acidente,bairro,tipo,condicao_via,dia_da_semana,mes,ano,hora_bruta
401,1,15,9,1,0,1,2018,16
402,0,50,9,1,0,1,2018,16
403,1,37,9,1,0,1,2018,17
404,1,85,9,1,0,1,2018,17
405,1,67,10,1,0,1,2018,17
406,1,79,9,1,0,1,2018,17
407,1,1,9,1,0,1,2018,18
408,0,58,10,1,0,1,2018,18
409,1,1,9,1,0,1,2018,18
410,1,25,9,1,0,1,2018,18
411,1,23,9,1,0,1,2018,19
412,0,58,9,1,0,1,2018,20
413,1,50,9,1,0,1,2018,20
414,0,6,9,1,0,1,2018,20
415,1,34,9,1,0,1,2018,22
416,0,75,9,1,1,1,2018,6
417,1,50,9,1,1,1,2018,7
418,1,75,9,1,1,1,2018,7
419,1,34,9,1,1,1,2018,7
420,1,13,9,1,1,1,2018,7
421,1,34,9,1,1,1,2018,8
422,1,79,9,1,1,1,2018,8
423,1,47,9,1,1,1,2018,8
424,1,64,9,1,1,1,2018,8
425,1,1,9,1,1,1,2018,9
426,1,58,9,1,1,1,2018,9
427,1,34,9,1,1,1,2018,10
428,1,12,9,1,1,1,2018,10
429,1,48,9,1,1,1,2018,10
430,1,12,9,1,1,1,2018,10
431,1,12,9,1,1,1,2018,11
432,1,34,9,1,1,1,2018,11
433,1,78,9,1,1,1,2018,11
434,1,25,9,1,1,1,2018,13
435,1,46,9,1,1,1,2018,13
436,1,81,9,1,1,1,2018,13
437,1,37,9,1,1,1,2018,15
438,1,45,9,1,1,1,2018,15
439,1,13,9,1,1,1,2018,15
440,1,1,9,1,1,1,2018,16
441,1,12,9,1,1,1,2018,17
442,1,90,9,1,1,1,2018,20
443,1,85,9,1,1,1,2018,20
444,1,89,9,1,1,1,2018,21
445,1,12,9,1,1,1,2018,22
446,1,31,9,1,1,1,2018,23
447,0,81,9,1,2,1,2018,0
448,1,12,6,1,2,1,2018,4
449,1,37,9,1,2,1,2018,7
450,0,24,9,1,2,1,2018,7
451,1,25,9,1,2,1,2018,
452,1,12,9,1,2,1,2018,8
453,1,12,9,1,2,1,2018,9
454,1,78,9,1,2,1,2018,9
455,1,25,9,1,2,1,2018,9
456,1,9,9,1,2,1,2018,9
457,1,34,9,1,2,1,2018,10
458,1,49,9,1,2,1,2018,10
459,1,1,9,1,2,1,2018,10
460,1,10,9,1,2,1,2018,11
461,1,13,9,1,2,1,2018,11
462,1,45,9,1,2,1,2018,11
463,1,87,9,1,2,1,2018,12
464,1,53,6,1,2,1,2018,13
465,0,58,9,1,2,1,2018,14
466,0,10,9,1,2,1,2018,14
467,1,39,9,1,2,1,2018,14
468,1,23,9,1,2,1,2018,14
469,1,47,9,1,2,1,2018,15
470,1,37,9,1,2,1,2018,15
471,1,58,9,1,2,1,2018,15
472,1,24,9,1,2,1,2018,15
473,1,85,9,1,2,1,2018,15
474,0,1,9,1,2,1,2018,17
475,1,50,9,1,2,1,2018,17
476,1,85,9,1,2,1,2018,17
477,1,1,9,1,2,1,2018,18
478,1,39,9,1,2,1,2018,19
479,1,34,13,1,2,1,2018,20
480,0,75,3,1,2,1,2018,21
481,1,45,9,1,2,1,2018,22
482,1,24,5,1,3,1,2018,3
483,1,0,6,1,3,1,2018,7
484,1,0,9,1,3,1,2018,7
485,1,45,9,1,3,1,2018,9
486,1,69,9,1,3,1,2018,9
487,1,78,9,1,3,1,2018,9
488,0,37,9,1,3,1,2018,9
489,1,63,9,1,3,1,2018,9
490,1,85,9,1,3,1,2018,10
491,1,69,9,1,3,1,2018,10
492,1,23,9,1,3,1,2018,10
493,1,51,9,1,3,1,2018,11
494,0,57,9,1,3,1,2018,11
495,1,73,9,1,3,1,2018,12
496,1,22,9,1,3,1,2018,12
497,0,12,9,1,3,1,2018,12
498,1,12,9,1,3,1,2018,12
499,0,15,9,1,3,1,2018,13
500,1,69,9,1,3,1,2018,14
501,1,12,9,1,3,1,2018,14
502,1,81,9,1,3,1,2018,15
503,1,15,13,1,3,1,2018,15
504,0,37,9,1,3,1,2018,15
505,0,92,9,1,3,1,2018,15
506,1,81,9,1,3,1,2018,15
507,1,81,9,1,3,1,2018,16
508,0,39,9,1,3,1,2018,16
509,0,69,10,1,3,1,2018,16
510,1,23,9,1,3,1,2018,16
511,1,31,9,1,3,1,2018,17
512,1,12,9,1,3,1,2018,17
513,1,13,9,1,3,1,2018,17
514,1,31,13,1,3,1,2018,18
515,0,19,9,1,3,1,2018,18
516,1,12,9,1,3,1,2018,18
517,1,24,9,1,3,1,2018,19
518,0,42,9,1,3,1,2018,20
519,0,83,9,1,3,1,2018,22
520,1,24,9,1,4,1,2018,6
521,1,45,9,1,4,1,2018,6
522,1,85,9,1,4,1,2018,7
523,1,48,9,1,4,1,2018,7
524,1,73,9,1,4,1,2018,7
525,1,50,9,1,4,1,2018,7
526,1,47,9,1,4,1,2018,8
527,1,48,9,1,4,1,2018,8
528,1,39,9,1,4,1,2018,8
529,1,49,9,1,4,1,2018,9
530,1,12,9,1,4,1,2018,9
531,1,48,9,1,4,1,2018,9
532,1,22,9,1,4,1,2018,10
533,1,79,9,1,4,1,2018,10
534,1,49,9,1,4,1,2018,11
535,1,51,9,1,4,1,2018,12
536,1,49,9,1,4,1,2018,13
537,1,12,9,1,4,1,2018,13
538,1,12,9,1,4,1,2018,14
539,1,12,9,1,4,1,2018,15
540,1,78,9,1,4,1,2018,15
541,1,49,9,1,4,1,2018,15
542,1,48,9,1,4,1,2018,16
543,1,12,9,1,4,1,2018,16
544,1,12,9,1,4,1,2018,17
545,1,58,9,1,4,1,2018,17
546,1,58,9,1,4,1,2018,18
547,0,24,9,1,4,1,2018,19
548,1,58,9,1,4,1,2018,20
549,0,66,9,1,4,1,2018,20
550,1,12,9,1,4,1,2018,23
551,1,69,9,1,5,1,2018,0
552,1,78,2,1,5,1,2018,5
553,0,74,9,1,5,1,2018,7
554,0,22,9,1,5,1,2018,9
555,1,75,9,1,5,1,2018,9
556,1,7,9,1,5,1,2018,9
557,1,66,9,1,5,1,2018,9
558,1,13,9,1,5,1,2018,9
559,1,7,9,1,5,1,2018,11
560,0,50,9,1,5,1,2018,11
561,1,36,9,1,5,1,2018,11
562,1,69,9,1,5,1,2018,12
563,1,12,9,1,5,1,2018,12
564,0,83,9,1,5,1,2018,15
565,1,9,9,1,5,1,2018,16
566,1,12,9,1,5,1,2018,16
567,0,24,9,1,5,1,2018,16
568,0,84,9,1,5,1,2018,16
569,0,57,3,1,5,1,2018,18
570,1,37,9,1,5,1,2018,19
571,0,83,9,1,5,1,2018,19
572,1,10,9,1,5,1,2018,19
573,1,13,13,1,5,1,2018,19
574,1,22,9,1,5,1,2018,19
575,1,7,9,1,5,1,2018,20
576,0,49,9,1,5,1,2018,21
577,1,25,9,1,5,1,2018,21
578,0,74,9,1,5,1,2018,22
579,0,39,9,1,5,1,2018,22
580,1,12,9,1,5,1,2018,22
581,1,83,9,1,5,1,2018,22
582,1,73,9,1,5,1,2018,22
583,1,53,9,1,5,1,2018,23
584,1,58,9,1,6,1,2018,9
585,1,17,9,1,6,1,2018,11
586,1,60,9,1,6,1,2018,11
